icsd_ids,formula,material_id,nelements,nsites
1,Cr2Te4O11,mp-540537,3,34
5,Na1P1H4O5,mp-554288,4,44
8,Ba1Te1S3,mp-27499,3,20
12,K1Ga2Cl7,mp-680577,3,40
14,Li1Nd1P4O12,mp-18711,4,36
18,Ca3Si2H6O10,mp-696156,4,42
22,Na1Cl1O2,mp-30965,3,8
24,Cs3Mn1Cl5,mp-504451,3,18
26,Na2Si1H16O11,mp-504605,4,120
27,Ca5Ga2As6,mp-17558,3,26
30,O7Fe3Yb2,mp-19064,3,24
31,Cs3Re2Cl10O1,mp-1188289,4,16
36,Mo1C4I1O4,mp-1201209,4,40
262187,Rb1Th3F13,mp-555463,3,34
262188,Rb1Th2F9,mp-1196714,3,48
45,Fe1Bi3Mo2O12,mp-560123,4,36
262199,Ba8U3Hg3S18,mp-1202453,4,96
262200,Li1La1Ge2,mp-1188255,3,16
262201,Li1Ce1Ge2,mp-20428,3,16
262202,Li1Pr1Ge2,mp-865658,3,16
262203,Li1Nd1Ge2,mp-1188849,3,16
262204,Li1Sm1Ge2,mp-1188183,3,16
262205,Li1Eu1Ge2,mp-1106100,3,16
262207,Sr2V2Se3O13,mp-1199170,4,80
262208,Ba1V2Se1O8,mp-1200210,4,48
65,Na1P1H6O6,mp-696157,4,56
262209,Sr4V2Se6O21,mp-1204879,4,66
262210,V2Pb4Se6O21,mp-1203641,4,66
71,Fe3Sn2,mp-27505,2,10
72,Rb1Li2Be2F7,mp-560518,4,48
76,K1P1O3,mp-557880,3,60
78,Mg1As1O8,mp-1204555,3,80
81,La2Re1O5,mp-27539,3,16
262242,Eu2Ga2Ge1S7,mp-1192354,4,24
104,Na8Ga2O7,mp-27618,3,68
105,Te3Cl2,mp-27628,2,20
106,Te2Br1,mp-27648,2,24
107,Te2I1,mp-27655,2,24
108,Te1I1,mp-569766,2,8
113,Mg1P4,mp-384,2,10
114,Gd1P5,mp-680742,2,12
262259,Y5Si4,mp-1198133,2,36
115,Ba3Cu2Cl2O4,mp-559757,4,22
262264,Ca2Al8Pb1O15,mp-1200432,4,104
124,Cu1C1S1N1,mp-553972,4,32
126,K2Ta2O3F6,mp-6651,4,52
129,Sr3Er2B4O12,mp-13960,4,84
131,Ca2B8H2O15,mp-706291,4,54
133,Ca1P2H6O9,mp-706278,4,36
262282,Ba2B5O11,mp-1198603,3,72
142,Sb8Pb3S15,mp-22737,3,52
143,Pb1C2S2N2,mp-20605,4,14
146,Sb5I1O7,mp-556869,3,52
150,Ca1C1O3,mp-556235,3,20
153,Mo1F6,mp-557259,2,28
158,K4Sn1O4,mp-7258,3,18
165,Mn5Si2,mp-608655,2,56
168,Ba1Ru1O5,mp-1201605,3,42
169,Na2Cu3Si4O12,mp-649944,4,84
170,Al1P3O9,mp-540549,3,78
171,Fe2P1Cl1O4,mp-556581,4,32
173,Na1H2Cl1O5,mp-540550,4,36
262323,Ca3W1O6,mp-779906,3,20
185,Y2Hf1S5,mp-16919,3,32
262329,Ba1Tb1F6,mp-8573,3,16
187,Sr2Nb2O7,mp-3870,3,22
189,Ba2Mn1W1O6,mp-19085,4,20
193,Ca1As3,mp-1900,2,8
194,Cu1Sn1O6,mp-1202466,3,32
196,V6O11,mp-30518,2,34
197,V7O13,mp-27151,2,40
200,Cs2Na1Cr1F6,mp-557047,4,20
262347,Sr3Fe2O4F4,mp-1103995,4,13
655564,Sn1P1Se3,mp-5706,3,20
214,S1F6,mp-8560,2,7
655578,Li1Yb8Ge13,mp-1203855,3,88
262362,Li1Y1Si1,mp-14208,3,9
262363,Y1Si1,mp-1077026,2,6
262365,Np1N2,mp-1008833,2,3
262366,Np2N3,mp-1203025,2,40
262371,K3Al2As3O12,mp-1197125,4,80
262377,Dy2Ni7,mp-865205,2,18
262385,Sr1Ge1Au3,mp-1078860,3,10
262390,Rb2Sn1Hg1Te4,mp-1080691,4,8
262392,Ho7Te2Au2,mp-1190610,3,22
262395,Lu6Te2Au1,mp-1199600,3,36
251,Y1In1O3,mp-504607,3,30
262398,Sr2Co1Ge2O7,mp-1191317,4,24
262402,La3V1H3O8,mp-1194534,4,30
262403,Y2V1O5,mp-1201610,3,32
655619,Sm1Ni4P2,mp-21916,3,42
262404,Dy2V1O5,mp-1200746,3,32
262406,Yb2V1O5,mp-1199587,3,32
262408,Ba1Mg1Te2O7,mp-865532,4,22
265,Te2S1O7,mp-4906,3,20
266,K6Hg1S4,mp-5114,3,22
262409,Ba1Zn1Te2O7,mp-1191811,4,22
262413,Sr2Zn2As3,mp-1104042,3,14
262414,Eu2Zn2As3,mp-1104456,3,14
655633,Er2Ni3B6,mp-4071,3,11
279,Ba15Fe7S25,mp-680291,3,188
280,Ba3Fe1S5,mp-630328,3,36
262425,Rb1La1F4,mp-1190838,3,24
281,Cs2Sn1F6,mp-7297,3,9
